Date,Open,High,Low,Close,Volume,Adj Close
2/10/17,177.369995,178.869995,176.759995,178.679993,2924300,178.679993
2/9/17,176.169998,177.800003,175.910004,177.210007,3090700,177.210007
2/8/17,177.5,177.5,175.880005,176.169998,2913100,176.169998
2/7/17,176,178.619995,175.899994,178.460007,3873500,177.060012
2/6/17,175.309998,175.979996,174.380005,175.860001,2650800,174.480403
2/3/17,175,176.339996,174.889999,175.820007,3309300,174.440723
2/2/17,174.229996,174.970001,173.550003,174.580002,2620500,173.210445
2/1/17,175,175.699997,172.889999,174.289993,2795700,172.922712
1/31/17,175.050003,175.580002,173.610001,174.520004,4139000,173.150918
1/30/17,176.979996,177.070007,174.580002,175.800003,4094800,174.420876
1/27/17,178.470001,179.199997,177.300003,177.300003,3482300,175.909108
1/26/17,178.059998,178.880005,177.509995,178.660004,3063900,177.25844
1/25/17,176.259995,179.25,176.130005,178.289993,5922500,176.891332
1/24/17,171.360001,176,171.160004,175.899994,6952400,174.520082
1/23/17,170.080002,171.25,170.009995,171.029999,5478200,169.688291
1/20/17,167.809998,170.639999,166,170.550003,12690000,169.212061
1/19/17,166.960007,167.449997,165.800003,166.809998,6963400,165.501396
1/18/17,167.449997,168.589996,166.690002,166.800003,4007800,165.491479
1/17/17,166.690002,168.179993,166.119995,167.889999,3315700,166.572925
1/13/17,167.970001,168.479996,166.880005,167.339996,2875400,166.027237
1/12/17,167.770004,168.009995,165.559998,167.949997,2927500,166.632452
